6/1/2017 11:57:29 AM	31.6.103.131	3
6/1/2017 11:57:39 AM	31.6.103.131	4
6/1/2017 5:57:00 PM	109.254.7.129	3
6/1/2017 5:57:10 PM	109.254.7.129	4
6/1/2017 5:57:31 PM	109.254.7.129	5
6/3/2017 3:42:49 AM	31.6.103.131	3
6/3/2017 3:42:59 AM	31.6.103.131	4
6/3/2017 3:43:09 AM	31.6.103.131	5
6/3/2017 3:43:33 AM	31.6.103.131	6
6/3/2017 3:43:53 AM	31.6.103.131	7
6/3/2017 3:45:26 AM	31.6.103.131	8
6/3/2017 3:45:46 AM	31.6.103.131	9
6/3/2017 3:46:06 AM	31.6.103.131	10
6/3/2017 3:50:45 AM	31.6.103.131	11
6/3/2017 3:52:06 AM	31.6.103.131	12
6/3/2017 3:53:23 PM	31.6.103.131	3
6/3/2017 3:53:33 PM	31.6.103.131	4
6/3/2017 3:56:31 PM	31.6.103.131	5
6/3/2017 3:56:51 PM	31.6.103.131	6
6/3/2017 3:57:54 PM	31.6.103.131	7
6/3/2017 3:58:14 PM	31.6.103.131	8
6/3/2017 4:00:25 PM	31.6.103.131	9
6/3/2017 4:01:23 PM	31.6.103.131	10
6/3/2017 4:02:23 PM	31.6.103.131	11
6/3/2017 4:03:58 PM	31.6.103.131	12
6/3/2017 4:05:32 PM	31.6.103.131	13
6/3/2017 4:09:25 PM	109.254.7.129	3
6/3/2017 4:09:55 PM	109.254.7.129	4
6/3/2017 4:22:44 PM	31.6.103.131	14
6/3/2017 4:23:44 PM	31.6.103.131	15
6/3/2017 11:18:05 PM	73.54.35.180	3
6/3/2017 11:18:15 PM	73.54.35.180	4
6/3/2017 11:50:51 PM	73.54.35.180	5
6/3/2017 11:53:50 PM	73.54.35.180	6
6/4/2017 12:18:49 AM	73.54.35.180	7
6/4/2017 12:19:09 AM	73.54.35.180	8
6/4/2017 12:19:29 AM	73.54.35.180	9
6/4/2017 12:20:22 AM	73.54.35.180	10
6/4/2017 11:12:59 PM	73.54.35.180	3
6/4/2017 11:13:09 PM	73.54.35.180	4
6/4/2017 11:39:08 PM	73.54.35.180	5
6/4/2017 11:59:43 PM	73.54.35.180	3
6/5/2017 1:25:19 AM	73.54.35.180	3
6/6/2017 2:06:57 AM	73.54.35.180	3
6/6/2017 2:07:07 AM	73.54.35.180	4
6/6/2017 2:07:17 AM	73.54.35.180	5
6/6/2017 2:20:37 AM	73.54.35.180	6
